,Key,jpath
419,role,"['work experience', 'responsibilities']"
420,roles[ 	]*(&|and)[ 	]*responsibilities,"['work experience', 'responsibilities']"
421,roles[ 	]*performed,"['work experience', 'responsibilities']"
422,significant[ 	]*achievements,"['work experience', 'responsibilities']"
423,contribution,"['work experience', 'responsibilities']"
424,contribution[ 	]*in[ 	]*project,"['work experience', 'responsibilities']"
425,roles[ 	]*(&|and)[ 	]*responsibilities,"['work experience', 'responsibilities']"
426,roles(&|and)responsibility,"['work experience', 'responsibilities']"
427,roles[ 	]*(&|and)[ 	]*responsibilities,"['work experience', 'responsibilities']"
428,work[ 	]*achievements,"['work experience', 'responsibilities']"
429,roles[ 	]*(&|and)[ 	]*responsibility,"['work experience', 'responsibilities']"
430,role,"['work experience', 'responsibilities']"
431,role[ 	]*(&|and)[ 	]*responsibilities,"['work experience', 'responsibilities']"
432,technical[ 	]*responsibilities,"['work experience', 'responsibilities']"
433,job[ 	]*responsibilities,"['work experience', 'responsibilities']"
434,job[ 	]*responsibilities,"['work experience', 'responsibilities']"
435,significant[ 	]*highlights,"['work experience', 'highlights']"
436,project[ 	]*coordination,"['work experience', 'highlights']"
437,project[ 	]*(&|and)[ 	]*people[ 	]*management,"['work experience', 'highlights']"
438,,"['volunteer', 'organization']"
439,,"['volunteer', 'position']"
440,,"['volunteer', 'url']"
441,,"['volunteer', 'startdate']"
442,,"['volunteer', 'enddate']"
443,,"['volunteer', 'summary']"
444,,"['volunteer', 'highlights']"
445,education[ 	]*/[ 	]*professional[ 	]*development,"['education', 'education']"
446,summary[ 	]*of[ 	]*qualification,"['education', 'education']"
447,educational[ 	]*qualification,"['education', 'education']"
448,educational[ 	]*qualification,"['education', 'education']"
449,education,"['education', 'education']"
450,educational[ 	]*institution,"['education', 'education']"
451,education[ 	]*qualification,"['education', 'education']"
452,educational[ 	]*credentials,"['education', 'education']"
453,education,"['education', 'education']"
454,educational,"['education', 'education']"
455,education[ 	]*(&|and)[ 	]*qualification,"['education', 'education']"
456,education[ 	]*/[ 	]*professional[ 	]*development,"['education', 'education']"
457,education[ 	]*qualifications,"['education', 'education']"
458,education[ 	]*(&|and)[ 	]*training,"['education', 'education']"
459,educational[ 	]*development,"['education', 'education']"
460,educational[ 	]*(&|and)[ 	]*professional[ 	]*credentials,"['education', 'education']"
461,education[ 	]*details,"['education', 'education']"
462,education[ 	]*credential,"['education', 'education']"
463,education[ 	]*qualification,"['education', 'education']"
464,educational[ 	]*qualifications,"['education', 'education']"
465,educational[ 	]*credentials,"['education', 'education']"
466,education[ 	]*qualification,"['education', 'education']"
467,educational[ 	]*qualifications,"['education', 'education']"
468,academic[ 	]*details,"['education', 'education']"
469,academic[ 	]*details,"['education', 'education']"
470,academia,"['education', 'education']"
471,academia,"['education', 'education']"
472,academic[ 	]*qualification,"['education', 'education']"
473,academic[ 	]*qualification,"['education', 'education']"
474,academic[ 	]*qualifications,"['education', 'education']"
475,academic[ 	]*credentials[ 	]*/[ 	]*certifications[ 	]*/[ 	]*skills,"['education', 'education']"
476,scholastics,"['education', 'education']"
477,education[ 	]*(&|and)[ 	]*training,"['education', 'education']"
478,academic[ 	]*profile,"['education', 'education']"
479,academic[ 	]*profile,"['education', 'education']"
480,technical[ 	]*career,"['education', 'education']"
481,non-technical[ 	]*career,"['education', 'education']"
482,academic[ 	]*career,"['education', 'education']"
483,proffesional[ 	]*qualification,"['education', 'education']"
484,institution[ 	]*/college[ 	]*name,"['education', 'institution']"
485,institution[ 	]*/[ 	]*university,"['education', 'institution']"
486,institution[ 	]*name,"['education', 'institution']"
487,institution,"['education', 'institution']"
488,board,"['education', 'institution']"
489,board/university,"['education', 'institution']"
490,board/university,"['education', 'institution']"
491,board/university[ 	]*per(%)/cgpa,"['education', 'institution']"
492,board/university,"['education', 'institution']"
493,name[ 	]*of[ 	]*the[ 	]*institute,"['education', 'institution']"
494,college[ 	]*university,"['education', 'institution']"
495,name[ 	]*of[ 	]*institution,"['education', 'institution']"
496,college[ 	]*name,"['education', 'institution']"
497,college/school,"['education', 'institution']"
498,board[ 	]*of[ 	]*study,"['education', 'institution']"
499,school,"['education', 'institution']"
500,school/college,"['education', 'institution']"
501,university,"['education', 'institution']"
502,university/institute,"['education', 'institution']"
503,university[ 	]*/[ 	]*board,"['education', 'institution']"
504,university[ 	]*/[ 	]*board[ 	]*/[ 	]*institute,"['education', 'institution']"
505,university/board,"['education', 'institution']"
506,,"['education', 'startdate']"
507,,"['education', 'enddate']"
508,,"['education', 'currentlypursuing']"
509,stream,"['education', 'discipline']"
510,stream/specialization,"['education', 'discipline']"
511,title[ 	]*of[ 	]*the[ 	]*degree[ 	]*with[ 	]*branch,"['education', 'discipline']"
512,title,"['education', 'discipline']"
513,subjects/specialization,"['education', 'discipline']"
514,subject,"['education', 'discipline']"
515,branch,"['education', 'discipline']"
516,degree/[ 	]*course,"['education', 'educationtype']"
517,degree/course,"['education', 'educationtype']"
518,exam/degree,"['education', 'educationtype']"
519,year[ 	]*of[ 	]*passing,"['education', 'endyear']"
520,year[ 	]*of[ 	]*passing,"['education', 'endyear']"
521,year[ 	]*of[ 	]*passing,"['education', 'endyear']"
522,year[ 	]*of[ 	]*passing,"['education', 'endyear']"
523,year[ 	]*of[ 	]*passing,"['education', 'endyear']"
524,year[ 	]*of[ 	]*completion,"['education', 'endyear']"
525,year,"['education', 'endyear']"
526,year,"['education', 'endyear']"
527,year[ 	]*of[ 	]*completion,"['education', 'endyear']"
528,grade[ 	]*year,"['education', 'endyear']"
529,examination[ 	]*passed,"['education', 'endyear']"
530,examination[ 	]*passed,"['education', 'endyear']"
531,passing[ 	]*year,"['education', 'endyear']"
532,passing[ 	]*year,"['education', 'endyear']"
533,semester/class,"['education', 'minor']"
534,minor,"['education', 'minor']"
